modelo,window,transform,exog,n_exog,use_tda,estrategia,fold,mae,rmse,mape,r2,__label__
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,isolation,1,31.32483317712017,37.56683430307498,24.64290316639582,0.0012887205405319,ElasticNet|w36|seasonal_diff|dies+mxn_|isolation
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,isolation,2,33.289439567903806,42.66631259835902,25.857871402986653,-0.1243281141440673,ElasticNet|w36|seasonal_diff|dies+mxn_|isolation
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,False,isolation,3,42.765906316624495,57.83302903258641,29.0684185486189,-1.3173670288459345,ElasticNet|w36|seasonal_diff|dies+mxn_|isolation
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,none,1,29.266545786680258,36.29287717659752,23.15916412510568,0.0678762919627791,ElasticNet|w36|seasonal_diff|dies+mxn_|tda
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,none,2,48.079566321155184,55.800441987034354,37.9397487325734,-0.923083432746661,ElasticNet|w36|seasonal_diff|dies+mxn_|tda
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,none,3,41.71073666793493,55.99537972455278,28.34590763661446,-1.172437711966634,ElasticNet|w36|seasonal_diff|dies+mxn_|tda
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,dummy,1,29.266545786680258,36.29287717659752,23.15916412510568,0.0678762919627791,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|dummy
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,dummy,2,48.079566321155184,55.800441987034354,37.9397487325734,-0.923083432746661,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|dummy
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,dummy,3,41.71073666793493,55.99537972455278,28.34590763661446,-1.172437711966634,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|dummy
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,winsorize,1,29.266545786680258,36.29287717659752,23.15916412510568,0.0678762919627791,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|winsorize
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,winsorize,2,48.079566321155184,55.800441987034354,37.9397487325734,-0.923083432746661,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|winsorize
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,winsorize,3,41.71073666793493,55.99537972455278,28.34590763661446,-1.172437711966634,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|winsorize
